DATE,business_insolvencies
1990-01-01,4039.0
1990-02-01,4039.0
1990-03-01,4039.0
1990-04-01,3770.0
1990-05-01,3770.0
1990-06-01,3770.0
1990-07-01,3138.6666666666665
1990-08-01,3138.6666666666665
1990-09-01,3138.6666666666665
1990-10-01,4428.666666666667
1990-11-01,4428.666666666667
1990-12-01,4428.666666666667
1991-01-01,4732.333333333333
1991-02-01,4732.333333333333
1991-03-01,4732.333333333333
1991-04-01,4428.666666666667
1991-05-01,4428.666666666667
1991-06-01,4428.666666666667
1991-07-01,3605.6666666666665
1991-08-01,3605.6666666666665
1991-09-01,3605.6666666666665
1991-10-01,4854.333333333333
1991-11-01,4854.333333333333
1991-12-01,4854.333333333333
1992-01-01,5289.333333333333
1992-02-01,5289.333333333333
1992-03-01,5289.333333333333
1992-04-01,4835.666666666667
1992-05-01,4835.666666666667
1992-06-01,4835.666666666667
1992-07-01,4114.666666666667
1992-08-01,4114.666666666667
1992-09-01,4114.666666666667
1992-10-01,5623.333333333333
1992-11-01,5623.333333333333
1992-12-01,5623.333333333333
1993-01-01,5886.0
1993-02-01,5886.0
1993-03-01,5886.0
1993-04-01,5301.0
1993-05-01,5301.0
1993-06-01,5301.0
1993-07-01,4453.0
1993-08-01,4453.0
1993-09-01,4453.0
1993-10-01,5596.333333333333
1993-11-01,5596.333333333333
1993-12-01,5596.333333333333
1994-01-01,5830.333333333333
1994-02-01,5830.333333333333
1994-03-01,5830.333333333333
1994-04-01,5227.333333333333
1994-05-01,5227.333333333333
1994-06-01,5227.333333333333
1994-07-01,4027.0
1994-08-01,4027.0
1994-09-01,4027.0
1994-10-01,5233.333333333333
1994-11-01,5233.333333333333
1994-12-01,5233.333333333333
1995-01-01,5554.333333333333
1995-02-01,5554.333333333333
1995-03-01,5554.333333333333
1995-04-01,4747.0
1995-05-01,4747.0
1995-06-01,4747.0
1995-07-01,3964.6666666666665
1995-08-01,3964.6666666666665
1995-09-01,3964.6666666666665
1995-10-01,5382.333333333333
1995-11-01,5382.333333333333
1995-12-01,5382.333333333333
1996-01-01,5314.666666666667
1996-02-01,5314.666666666667
1996-03-01,5314.666666666667
1996-04-01,4931.0
1996-05-01,4931.0
1996-06-01,4931.0
1996-07-01,4174.0
1996-08-01,4174.0
1996-09-01,4174.0
1996-10-01,5500.333333333333
1996-11-01,5500.333333333333
1996-12-01,5500.333333333333
1997-01-01,5408.333333333333
1997-02-01,5408.333333333333
1997-03-01,5408.333333333333
1997-04-01,5086.666666666667
1997-05-01,5086.666666666667
1997-06-01,5086.666666666667
1997-07-01,4039.6666666666665
1997-08-01,4039.6666666666665
1997-09-01,4039.6666666666665
1997-10-01,5127.333333333333
1997-11-01,5127.333333333333
1997-12-01,5127.333333333333
1998-01-01,5018.333333333333
1998-02-01,5018.333333333333
1998-03-01,5018.333333333333
1998-04-01,4310.333333333333
1998-05-01,4310.333333333333
1998-06-01,4310.333333333333
1998-07-01,3498.0
1998-08-01,3498.0
1998-09-01,3498.0
1998-10-01,4496.0
1998-11-01,4496.0
1998-12-01,4496.0
1999-01-01,4634.333333333333
1999-02-01,4634.333333333333
1999-03-01,4634.333333333333
1999-04-01,4055.6666666666665
1999-05-01,4055.6666666666665
1999-06-01,4055.6666666666665
1999-07-01,3278.6666666666665
1999-08-01,3278.6666666666665
1999-09-01,3278.6666666666665
1999-10-01,4145.333333333333
1999-11-01,4145.333333333333
1999-12-01,4145.333333333333
2000-01-01,4116.0
2000-02-01,4116.0
2000-03-01,4116.0
2000-04-01,3535.0
2000-05-01,3535.0
2000-06-01,3535.0
2000-07-01,3008.3333333333335
2000-08-01,3008.3333333333335
2000-09-01,3008.3333333333335
2000-10-01,3996.6666666666665
2000-11-01,3996.6666666666665
2000-12-01,3996.6666666666665
2001-01-01,3020.0
2001-02-01,3020.0
2001-03-01,3020.0
2001-04-01,4095.6666666666665
2001-05-01,4095.6666666666665
2001-06-01,4095.6666666666665
2001-07-01,3105.3333333333335
2001-08-01,3105.3333333333335
2001-09-01,3105.3333333333335
2001-10-01,4206.333333333333
2001-11-01,4206.333333333333
2001-12-01,4206.333333333333
2002-01-01,3736.0
2002-02-01,3736.0
2002-03-01,3736.0
2002-04-01,3875.6666666666665
2002-05-01,3875.6666666666665
2002-06-01,3875.6666666666665
2002-07-01,3196.0
2002-08-01,3196.0
2002-09-01,3196.0
2002-10-01,4181.0
2002-11-01,4181.0
2002-12-01,4181.0
2003-01-01,4271.0
2003-02-01,4271.0
2003-03-01,4271.0
2003-04-01,3811.6666666666665
2003-05-01,3811.6666666666665
2003-06-01,3811.6666666666665
2003-07-01,3335.3333333333335
2003-08-01,3335.3333333333335
2003-09-01,3335.3333333333335
2003-10-01,4320.666666666667
2003-11-01,4320.666666666667
2003-12-01,4320.666666666667
2004-01-01,4386.666666666667
2004-02-01,4386.666666666667
2004-03-01,4386.666666666667
2004-04-01,4006.0
2004-05-01,4006.0
2004-06-01,4006.0
2004-07-01,3338.0
2004-08-01,3338.0
2004-09-01,3338.0
2004-10-01,4388.333333333333
2004-11-01,4388.333333333333
2004-12-01,4388.333333333333
2005-01-01,4519.666666666667
2005-02-01,4519.666666666667
2005-03-01,4519.666666666667
2005-04-01,4318.333333333333
2005-05-01,4318.333333333333
2005-06-01,4318.333333333333
2005-07-01,3330.3333333333335
2005-08-01,3330.3333333333335
2005-09-01,3330.3333333333335
2005-10-01,4282.0
2005-11-01,4282.0
2005-12-01,4282.0
2006-01-01,4125.666666666667
2006-02-01,4125.666666666667
2006-03-01,4125.666666666667
