Date,Deposit facility,Fixed rate,Minimum bid rate,Marginal lending facility
20/09/2023,4.00,4.50,-,4.75
2/08/2023,3.75,4.25,-,4.50
21/06/2023,3.50,4.00,-,4.25
10/05/2023,3.25,3.75,-,4.00
22/03/2023,3.00,3.50,-,3.75
8/02/2023,2.50,3.00,-,3.25
21/12/2022,2.00,2.50,-,2.75
2/11/2022,1.50,2.00,-,2.25
14/09/2022,0.75,1.25,-,1.50
27/07/2022,0.00,0.50,-,0.75
18/09/2019,−0.50,0.00,-,0.25
16/03/2016,−0.40,0.00,-,0.25
9/12/2015,−0.30,0.05,-,0.30
10/09/2014,−0.20,0.05,-,0.30
11/06/2014,−0.10,0.15,-,0.40
13/11/2013,0.00,0.25,-,0.75
8/05/2013,0.00,0.50,-,1.00
11/07/2012,0.00,0.75,-,1.50
14/12/2011,0.25,1.00,-,1.75
9/11/2011,0.50,1.25,-,2.00
13/07/2011,0.75,1.50,-,2.25
13/04/2011,0.50,1.25,-,2.00
13/05/2009,0.25,1.00,-,1.75
8/04/2009,0.25,1.25,-,2.25
11/03/2009,0.50,1.50,-,2.50
21/01/2009,1.00,2.00,-,3.00
10/12/2008,2.00,2.50,-,3.00
12/11/2008,2.75,3.25,-,3.75
15/10/2008,3.25,3.75,-,4.25
9/10/2008,3.25,-,-,4.25
8/10/2008,2.75,-,-,4.75
9/07/2008,3.25,-,4.25,5.25
13/06/2007,3.00,-,4.00,5.00
14/03/2007,2.75,-,3.75,4.75
13/12/2006,2.50,-,3.50,4.50
11/10/2006,2.25,-,3.25,4.25
9/08/2006,2.00,-,3.00,4.00
15/06/2006,1.75,-,2.75,3.75
8/03/2006,1.50,-,2.50,3.50
6/12/2005,1.25,-,2.25,3.25
6/06/2003,1.00,-,2.00,3.00
7/03/2003,1.50,-,2.50,3.50
6/12/2002,1.75,-,2.75,3.75
9/11/2001,2.25,-,3.25,4.25
18/09/2001,2.75,-,3.75,4.75
31/08/2001,3.25,-,4.25,5.25
11/05/2001,3.50,-,4.50,5.50
6/10/2000,3.75,-,4.75,5.75
1/09/2000,3.50,-,4.50,5.50
28/06/2000,3.25,-,4.25,5.25
9/06/2000,3.25,4.25,-,5.25
28/04/2000,2.75,3.75,-,4.75
17/03/2000,2.50,3.50,-,4.50
4/02/2000,2.25,3.25,-,4.25
5/11/1999,2.00,3.00,-,4.00
9/04/1999,1.50,2.50,-,3.50
22/01/1999,2.00,3.00,-,4.50
4/01/1999,2.75,3.00,-,3.25
1/01/1999,2.00,3.00,-,4.50
