DATE,Exch_rate
2001-08-01,0.9124
2001-07-01,0.8762
2001-06-01,0.85
2001-05-01,0.8459
2001-04-01,0.8881
2001-03-01,0.8778
2001-02-01,0.9234
2001-01-01,0.9365
2000-12-01,0.9424
2000-11-01,0.8724
2000-10-01,0.8493
2000-09-01,0.8839
2000-08-01,0.8888
2000-07-01,0.9263
2000-06-01,0.9526
2000-05-01,0.9379
2000-04-01,0.9123
2000-03-01,0.9562
2000-02-01,0.9647
2000-01-01,0.9695
1999-12-01,1.0075
1999-11-01,1.0091
1999-10-01,1.0551
1999-09-01,1.0684
1999-08-01,1.0564
1999-07-01,1.0707
1999-06-01,1.0357
1999-05-01,1.0423
1999-04-01,1.057
1999-03-01,1.077
1999-02-01,1.1025
1999-01-01,1.1366
1998-12-01,1.1723
1998-11-01,1.1601
1998-10-01,1.1887
1998-09-01,1.1795
1998-08-01,1.1302
1998-07-01,1.1095
1998-06-01,1.0952
1998-05-01,1.1029
1998-04-01,1.102
1998-03-01,1.0768
1998-02-01,1.0884
1998-01-01,1.079
1997-12-01,1.0991
1997-11-01,1.123
1997-10-01,1.143
1997-09-01,1.1122
1997-08-01,1.0878
1997-07-01,1.0733
1997-06-01,1.1267
1997-05-01,1.141
1997-04-01,1.1255
1997-03-01,1.1661
1997-02-01,1.1468
1997-01-01,1.1796
1996-12-01,1.2538
1996-11-01,1.254
1996-10-01,1.2642
1996-09-01,1.2504
1996-08-01,1.273
1996-07-01,1.2767
1996-06-01,1.2432
1996-05-01,1.2392
1996-04-01,1.2269
1996-03-01,1.2557
1996-02-01,1.2551
1996-01-01,1.234
1995-12-01,1.2777
1995-11-01,1.2755
1995-10-01,1.3013
1995-09-01,1.2971
1995-08-01,1.2746
1995-07-01,1.3405
1995-06-01,1.3321
1995-05-01,1.305
1995-04-01,1.3251
1995-03-01,1.3319
1995-02-01,1.2713
1995-01-01,1.2394
