DATE,firms_creation
2000-01-01,19764.666666666668
2000-02-01,19764.666666666668
2000-03-01,19764.666666666668
2000-04-01,19038.333333333332
2000-05-01,19038.333333333332
2000-06-01,19038.333333333332
2000-07-01,16199.333333333334
2000-08-01,16199.333333333334
2000-09-01,16199.333333333334
2000-10-01,17016.333333333332
2000-11-01,17016.333333333332
2000-12-01,17016.333333333332
2001-01-01,19900.333333333332
2001-02-01,19900.333333333332
2001-03-01,19900.333333333332
2001-04-01,18511.0
2001-05-01,18511.0
2001-06-01,18511.0
2001-07-01,15755.666666666666
2001-08-01,15755.666666666666
2001-09-01,15755.666666666666
2001-10-01,16959.666666666668
2001-11-01,16959.666666666668
2001-12-01,16959.666666666668
2002-01-01,19415.0
2002-02-01,19415.0
2002-03-01,19415.0
2002-04-01,18522.0
2002-05-01,18522.0
2002-06-01,18522.0
2002-07-01,16304.333333333334
2002-08-01,16304.333333333334
2002-09-01,16304.333333333334
2002-10-01,17386.0
2002-11-01,17386.0
2002-12-01,17386.0
2003-01-01,20767.333333333332
2003-02-01,20767.333333333332
2003-03-01,20767.333333333332
2003-04-01,20176.333333333332
2003-05-01,20176.333333333332
2003-06-01,20176.333333333332
2003-07-01,18346.666666666668
2003-08-01,18346.666666666668
2003-09-01,18346.666666666668
2003-10-01,20366.666666666668
2003-11-01,20366.666666666668
2003-12-01,20366.666666666668
2004-01-01,25406.333333333332
2004-02-01,25406.333333333332
2004-03-01,25406.333333333332
2004-04-01,23883.333333333332
2004-05-01,23883.333333333332
2004-06-01,23883.333333333332
2004-07-01,19790.0
2004-08-01,19790.0
2004-09-01,19790.0
2004-10-01,20585.666666666668
2004-11-01,20585.666666666668
2004-12-01,20585.666666666668
2005-01-01,24293.666666666668
2005-02-01,24293.666666666668
2005-03-01,24293.666666666668
2005-04-01,24238.0
2005-05-01,24238.0
2005-06-01,24238.0
2005-07-01,20243.666666666668
2005-08-01,20243.666666666668
2005-09-01,20243.666666666668
2005-10-01,21630.333333333332
2005-11-01,21630.333333333332
2005-12-01,21630.333333333332
2006-01-01,26779.0
2006-02-01,26779.0
2006-03-01,26779.0
2006-04-01,24243.333333333332
2006-05-01,24243.333333333332
2006-06-01,24243.333333333332
2006-07-01,20720.666666666668
2006-08-01,20720.666666666668
2006-09-01,20720.666666666668
2006-10-01,23409.666666666668
2006-11-01,23409.666666666668
2006-12-01,23409.666666666668
2007-01-01,29577.0
2007-02-01,29577.0
2007-03-01,29577.0
2007-04-01,26981.0
2007-05-01,26981.0
2007-06-01,26981.0
2007-07-01,25079.333333333332
2007-08-01,25079.333333333332
2007-09-01,25079.333333333332
2007-10-01,26942.333333333332
2007-11-01,26942.333333333332
2007-12-01,26942.333333333332
2008-01-01,31990.333333333332
2008-02-01,31990.333333333332
2008-03-01,31990.333333333332
2008-04-01,28997.333333333332
2008-05-01,28997.333333333332
2008-06-01,28997.333333333332
2008-07-01,25051.333333333332
2008-08-01,25051.333333333332
2008-09-01,25051.333333333332
2008-10-01,24440.666666666668
2008-11-01,24440.666666666668
2008-12-01,24440.666666666668
2009-01-01,45643.666666666664
2009-02-01,45643.666666666664
2009-03-01,45643.666666666664
2009-04-01,51107.333333333336
2009-05-01,51107.333333333336
2009-06-01,51107.333333333336
2009-07-01,45007.666666666664
2009-08-01,45007.666666666664
2009-09-01,45007.666666666664
2009-10-01,51639.0
2009-11-01,51639.0
2009-12-01,51639.0
2010-01-01,60666.333333333336
2010-02-01,60666.333333333336
2010-03-01,60666.333333333336
2010-04-01,51632.0
2010-05-01,51632.0
2010-06-01,51632.0
2010-07-01,45155.333333333336
2010-08-01,45155.333333333336
2010-09-01,45155.333333333336
2010-10-01,49522.333333333336
2010-11-01,49522.333333333336
2010-12-01,49522.333333333336
2011-01-01,49907.0
2011-02-01,49907.0
2011-03-01,49907.0
2011-04-01,46329.666666666664
2011-05-01,46329.666666666664
2011-06-01,46329.666666666664
2011-07-01,41362.0
2011-08-01,41362.0
2011-09-01,41362.0
2011-10-01,45669.666666666664
2011-11-01,45669.666666666664
2011-12-01,45669.666666666664
2012-01-01,51982.666666666664
2012-02-01,51982.666666666664
2012-03-01,51982.666666666664
2012-04-01,45562.666666666664
2012-05-01,45562.666666666664
2012-06-01,45562.666666666664
2012-07-01,41384.0
2012-08-01,41384.0
2012-09-01,41384.0
2012-10-01,44395.666666666664
2012-11-01,44395.666666666664
2012-12-01,44395.666666666664
2013-01-01,49257.666666666664
2013-02-01,49257.666666666664
2013-03-01,49257.666666666664
2013-04-01,44471.666666666664
2013-05-01,44471.666666666664
2013-06-01,44471.666666666664
2013-07-01,40587.333333333336
2013-08-01,40587.333333333336
2013-09-01,40587.333333333336
2013-10-01,45078.333333333336
2013-11-01,45078.333333333336
2013-12-01,45078.333333333336
2014-01-01,49971.333333333336
2014-02-01,49971.333333333336
2014-03-01,49971.333333333336
2014-04-01,45134.0
2014-05-01,45134.0
2014-06-01,45134.0
2014-07-01,42359.666666666664
2014-08-01,42359.666666666664
2014-09-01,42359.666666666664
2014-10-01,46133.0
2014-11-01,46133.0
2014-12-01,46133.0
2015-01-01,47453.666666666664
2015-02-01,47453.666666666664
2015-03-01,47453.666666666664
2015-04-01,42914.0
2015-05-01,42914.0
2015-06-01,42914.0
2015-07-01,40309.333333333336
2015-08-01,40309.333333333336
2015-09-01,40309.333333333336
2015-10-01,44348.333333333336
2015-11-01,44348.333333333336
2015-12-01,44348.333333333336
2016-01-01,49945.666666666664
2016-02-01,49945.666666666664
2016-03-01,49945.666666666664
2016-04-01,47700.333333333336
